did,handle,avatar,description,display_name,created_at,indexed_at,followers_count,region
did:plc:rifcb4tz375gj7i6cv5kiyfw,dvpw-ipe.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:rifcb4tz375gj7i6cv5kiyfw/bafkreihpqh6bg7ajw3f4gegjbey74hssh3hassdthfjcpbojuoeizmyuue@jpeg,Hier twittert der DVPW Arbeitskreis Internationale Politische Ökonomie / Tweets by International Political Economy Group of German Political Science Association,,2024-11-29T11:59:21.507Z,2024-11-29T13:06:31.607Z,52,
did:plc:eyaprs52z3orkasbsjb6vohp,alysian-bleats.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:eyaprs52z3orkasbsjb6vohp/bafkreihwqgspo62d4vyojs4jw37j2m66gmxrnorbvzohrfd76ratyy2dfa@jpeg,"26yr old trans girl who constantly thinks about ways to better the world, and usually ends up writing bad smut instead.",AlyssaTheFerret,2024-11-16T11:59:38.510Z,2024-11-29T13:55:05.208Z,29,
did:plc:cewe5ybvbkid724bhzpvv5ps,raphaelcunha.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:cewe5ybvbkid724bhzpvv5ps/bafkreidswo3xnsbxlf3nnsdp4f7xewjmcsihxeshpvdui3vwwj7hhvw3sq@jpeg,"Political scientist at King's College London @kcl.ac.uk | International political economy, politics of international money & finance
https://raphaelcunha.info",Raphael Cunha,2023-08-29T21:45:53.212Z,2024-05-24T12:57:39.289Z,1593,
did:plc:tghpa5ya7oioxcaxhu3ophaj,davidschweizer.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:tghpa5ya7oioxcaxhu3ophaj/bafkreidnhksgc74bydzqxewdfzhqakv3v2eibwunpuchl3ugmhbjzkvas4@jpeg,"PhD student at GESS, University of Mannheim | Political science | Computational social science | Studying party competition on climate change & Trade-Offs associated with climate politics",David Schweizer,2023-11-01T10:04:45.568Z,2024-01-26T02:40:35.653Z,95,
did:plc:xbgurukdh3mxo4emw7pjmgpa,aherning.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:xbgurukdh3mxo4emw7pjmgpa/bafkreibyybwscfdgez4kom5binrk7bywwm7wav7totigoxgl7csxkvefq4@jpeg,"Party Secretary, Norwegian Socialist Left Party (SV). Before that Humanitarian worker and democracy advisor. Avid football supporter of Vålerenga",Audun Kolsrud Herning,2024-11-29T09:24:22.909Z,2024-11-29T09:32:13.607Z,12,
did:plc:xrrt6quczw377km46vtdazom,happyau.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:xrrt6quczw377km46vtdazom/bafkreiassgwfnkveshzcomhmu6kdym57iot4go7atdeqehtpjjx6ao5ghi@jpeg,,Happy Aubin,2024-11-27T14:26:49.908Z,2024-11-29T08:58:55.608Z,76,
did:plc:u4zmwp5heqpq3tsaynaratn7,coneyvoneinland.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:u4zmwp5heqpq3tsaynaratn7/bafkreigride2qgbjlxzgail5covgtudnybwyi2m7gg7tomryaz2brni2z4@jpeg,"Demokratie
Diplomatie
Sozialökonomie
Pressefreiheit
Jurisprudenz
Feminismus
Friedensforschung 
Klimaschutz
Menschenrechte 
Kunst
Geschichte
Architektur
Ökologie",coney von 1land ☮️🎨🌷🌈💚🌳🌏🌎🌍♀️⚖️ нетвойне,2023-11-05T16:45:35.013Z,2024-01-26T02:44:42.936Z,139,
did:plc:p7526noibuw7jwhikleuro2k,agustinharoleon.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:p7526noibuw7jwhikleuro2k/bafkreicge2duglz4byxbnactd2uatpf4jyks23t4iqfgvsugnh7mnz3hzq@jpeg,"Berlin
Sociologist & Latin American Studies | Social and Political Researcher | Populism Studies | Far-Right & Far-Left Movements | Social Inequalities | Electoral Analysis | Discourse Analysis | Qualitative & Quantitative Research Methods |",Agustín Haro León,2024-11-09T21:55:04.516Z,2024-11-18T21:42:05.980Z,583,
did:plc:77byorbxnondur76lh42gndp,neilwd.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:77byorbxnondur76lh42gndp/bafkreifmhbwbrshjmwuu3ocyuuhnmda3rkivvit6ugp4t2svbsp62yfl7y@jpeg,"Perpetual learner: VP AI, Automation & Analytics @IDC Europe. FRSA. 
#automation #ai #analytics + Occasional nonsense. ",Neil Ward-Dutton,2023-07-05T08:43:46.344Z,2024-11-28T17:29:33.708Z,151,
did:plc:w45puqosuau2yoyse4t5qclk,cklamm.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:w45puqosuau2yoyse4t5qclk/bafkreic3zb7rwxguswhkxyal4oeghnvg2b24gph2xrhohze5buxil5gf2a@jpeg,"👨‍🔬 NLProc & CSS (UMannheim & Cologne Center of Comparative Politics)  
🚀 http://tada.cool co-organizer
🎓 MSc CS & MA PolSci (TU Darmstadt)
✨ rhetoric, bias & open science
👣 prev. MZES, BigScience, UKPlab & COSS_eth
🌲 https://linktr.ee/chkla",Christopher Klamm 🍁❄️,2023-10-15T23:11:19.262Z,2024-11-19T13:53:23.738Z,233,
did:plc:jod5rjpaj53a3hbqsrcrxl4w,carlwilliams0.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:jod5rjpaj53a3hbqsrcrxl4w/bafkreidhtvrjh2injsqvs7okqvsxp7wbq2xglnn2lxjqmrdf3vjn2w245q@jpeg,,Carl williams,2024-11-19T23:10:02.203Z,2024-11-25T17:58:16.308Z,1351,
did:plc:zmoane7bhdhut3js2u4p2okr,dgirardi.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:zmoane7bhdhut3js2u4p2okr/bafkreiczth5u5exc7hgba22mszqyi45br42rktxyj3oeoqillls7biy3nm@jpeg,"Economist at King's College London.

https://danielegirardi.github.io/",Daniele Girardi,2023-11-13T11:52:55.552Z,2024-11-21T08:43:16.034Z,355,
did:plc:nkhuwsdxij3ooxkr7fkqz22d,netzerointel.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:nkhuwsdxij3ooxkr7fkqz22d/bafkreif2yazerw5kooz4kjgzccw5kocfek5iuesptlmxzey37cfl6fyyhy@jpeg,"🌍 NetZeroIntel | Decoding the path to a sustainable future.
🔍 Sharing cutting-edge intelligence, AI-driven insights, and actionable strategies to accelerate the transition to net-zero emissions.
💡 Join us to explore trends, innovations, and thought lead",Erhan Eren,2024-11-23T09:45:08.608Z,2024-11-24T20:00:16.108Z,890,
did:plc:ou2l4mvoqpyxsyhp6hbdk44g,goldenrule108.bsky.social,,,,2023-07-28T18:26:52.032Z,0001-01-01T00:00:00.000Z,5,
did:plc:2nfp7nceyyqczr2olczyxf7x,bilko1234.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:2nfp7nceyyqczr2olczyxf7x/bafkreigiqr32pf7vnuquhwf4ynzotzjl6ydaxrauk2meady7737diqifpq@jpeg,Journalist who's worked on six of Scotland's leading newspapers and written two children's books. All my own teeth. ,Alan Wilkinson,2024-11-13T13:13:44.625Z,2024-11-14T16:45:55.765Z,162,
did:plc:gldxlywh3wswu654ezgickld,jimsteel.bsky.social,,,,2023-11-29T00:21:21.561Z,0001-01-01T00:00:00.000Z,8,
did:plc:bjdnxntsocbwr6d6qxwg5kkc,brunopanta.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:bjdnxntsocbwr6d6qxwg5kkc/bafkreiag2kkcebnbnzuem5dnpenzwtbzx2j6cdke73jwsasfs3odamppea@jpeg,"Political Science, Economics of Crime

Hot takes and bad jokes.",Bruno,2023-10-06T16:31:50.584Z,2024-10-27T18:53:45.049Z,373,
did:plc:pnu5fnihakaioo5vtq4sowld,sam-workman.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:pnu5fnihakaioo5vtq4sowld/bafkreiama7xfimwmart7nucp6zz74tu76ljv2yhzdeyvbc4ki2pcujbykq@jpeg,"Professor & Director of the Institute for Policy Research and Public Affairs at West Virginia University 🍸cocktails 📜 policy 📊 data 

📍Morgantown, West Virginia, Appalachia, USA

🌎https://www.linkedin.com/in/samuel-workman",Sam Workman,2023-09-19T19:19:33.910Z,2024-11-21T00:49:34.933Z,1184,
did:plc:hmjbikkn7udsgues7dbcgv44,tequila0341.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:hmjbikkn7udsgues7dbcgv44/bafkreih6ebasmwjvixvufnrggklpqwff3tbcgrlmmcxue54ny2lvanqnz4@jpeg,Just another former grunt NCO with bad takes.,,2023-07-06T14:50:11.640Z,2024-08-15T02:30:28.219Z,234,
did:plc:2ylgbet7hkz6ntdh6eljnsri,ositanwanevu.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:2ylgbet7hkz6ntdh6eljnsri/bafkreid7s2reozmr75tyzcz7yybqwmnjwmizxegeozfdvyajvq4euofwqq@jpeg,"Contributing Editor | The New Republic
Columnist | The Guardian
Author | The Right of the People (2025)
Newsletter | ositanwanevu.com
",Osita Nwanevu,2023-05-02T20:26:13.825Z,2024-11-25T13:58:37.908Z,52631,
did:plc:cbdwoo2j55ysesdubkf3ry4l,kswolf.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:cbdwoo2j55ysesdubkf3ry4l/bafkreihtq26zb3of3ciokhv7ay2zc6yukik4nxuqadpmdprfcckyq63awe@jpeg,"Love nature. Tucson, AZ. Protect our parks and natural resources. Public education, pro-choice, voting rights, democracy, equality.  Kissed “X” goodbye.  Resisting for the last 8 years. #JusticeMatters",My friends call me Wolfie,2024-11-09T20:28:54.816Z,2024-11-26T12:46:11.708Z,431,
did:plc:i32fhzywqkhx6m6ibgtj3mhy,nichogachet.bsky.social,https://cdn.bsky.app/img/avatar/plain/did:plc:i32fhzywqkhx6m6ibgtj3mhy/bafkreig3bdsbgxupo2nu5is2pz3bu4vpqkhsfpxzzlbeo2ex34dzpuh3tq@jpeg,"PhD candidate in Economics at the University of Manchester. I am on the 2024-2025 Job Market. Developmet|political econ|Econ history|Applied econometrics
Website: https://sites.google.com/site/nicholasgachet/home 
",Nicholas Gachet,2024-11-15T13:33:26.557Z,2024-11-21T18:30:36.534Z,147,
